id,text,question_type_id,game,image_link,audio_link,video_link,comment,created,updated,start_time,end_time,is_active,used,draw,time_to_answer
7,"Дядя Федор: “Чтобы продать что-нибудь ненужное, нужно сначала…”. Закончите цитату тремя словами ",1,31,,,,,"2025-09-22 17:00:06.077209","2025-09-22 17:01:43.940259","2025-09-22 20:10:45.534597","2025-09-22 20:11:45.534597",1,1,1,60
8,"Назовите страну с самым длинным названием",1,32,,,,,"2025-09-22 17:00:19.819452","2025-09-22 17:01:44.283408","2025-09-22 20:33:25.985731","2025-09-22 20:34:25.985731",1,1,1,60
9,"Перечислите все месяцы, в которых 31 день",1,NULL,,,,,"2025-09-22 17:00:36.356485","2025-09-22 17:01:44.619693",NULL,NULL,1,0,1,60
22,"Напишите название группы, исполнившую эту песню",1,45,,"/assets/1. Sergejj_ZHukov_-_A_on_tebya_celuet_govorit_chto_lyubit_64199862 (mp3cut.net).mp3",,,"2025-09-22 17:17:37.997631","2025-09-22 17:39:01.797353","2025-10-02 16:41:17.118918","2025-10-02 16:42:17.118918",1,1,0,60
23,"Напишите название группы, исполнившую эту песню",1,45,,"/assets/2. Bumboks_-_Vakhteram_64765326 (mp3cut.net).mp3",,,"2025-09-22 17:18:25.419673","2025-09-22 17:39:02.393691","2025-10-02 16:41:44.301410","2025-10-02 16:42:44.301410",1,1,0,60
24,"Напишите название группы, исполнившую эту песню",1,45,,"/assets/34. 5sta_family_-_Moya_melodiya_53298071 (mp3cut.net).mp3",,,"2025-09-22 17:19:26.006156","2025-09-22 17:39:02.771873","2025-10-02 16:42:19.362086","2025-10-02 16:43:19.362086",1,1,0,60
25,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/48. Aqua_-_Barbie_Girl_76675733 (mp3cut.net).mp3",,,"2025-09-22 17:19:43.438645","2025-09-22 17:39:03.246603","2025-09-22 20:25:35.681161","2025-09-22 20:26:35.681161",1,1,0,60
26,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/53. MBAND - Она вернётся (mp3cut.net).mp3",,,"2025-09-22 17:20:08.697230","2025-09-22 17:39:03.628329","2025-09-22 20:27:03.041706","2025-09-22 20:28:03.041706",1,1,0,60
27,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/54. IOWA_-_Marshrutka_48035688 (mp3cut.net).mp3",,,"2025-09-22 17:20:26.447105","2025-09-22 17:39:04.014560","2025-09-22 20:29:05.943067","2025-09-22 20:30:05.943067",1,1,0,60
28,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/57. Leprikonsy_-_KHali-gali_paratruper_64519337 (mp3cut.net).mp3",,,"2025-09-22 17:20:39.786152","2025-09-22 17:39:04.389680","2025-09-22 20:29:54.483997","2025-09-22 20:30:54.483997",1,1,0,60
29,"Напишите название группы, исполнившую эту песню",1,32,,"/assets/60. Agata_Kristi_-_Kak_na_vojjne_48167530 (mp3cut.net).mp3",,,"2025-09-22 17:20:53.779376","2025-09-22 17:39:04.745137","2025-09-22 20:34:29.066722","2025-09-22 20:35:29.066722",1,1,0,60
30,"Напишите название этой песни",1,32,,"/assets/3. 7B_-_Molodye_vetra_48192602 (mp3cut.net).mp3",,,"2025-09-22 17:21:26.233856","2025-09-22 17:39:05.270380","2025-09-22 20:35:11.914293","2025-09-22 20:36:11.914293",1,1,0,60
31,"Напишите название этой песни",1,32,,"/assets/4. Korol_i_SHut_-_Kukla_kolduna_1671691 (mp3cut.net).mp3",,,"2025-09-22 17:21:35.581286","2025-09-22 17:39:05.908660","2025-09-22 20:35:54.472536","2025-09-22 20:36:54.472536",1,1,0,60
32,"Напишите название этой песни",1,32,,"/assets/5. Burak_Yeter_Danelle_-_Tuesday_48201982 (mp3cut.net).mp3",,,"2025-09-22 17:21:46.327187","2025-09-22 17:39:07.582134","2025-09-22 20:37:39.593703","2025-09-22 20:38:39.593703",1,1,0,60
33,"Напишите название этой песни",1,32,,"/assets/9. Ed_Sheeran_-_Shape_of_You_47828367 (mp3cut.net).mp3",,,"2025-09-22 17:21:59.127576","2025-09-22 17:39:08.207178","2025-09-22 20:38:23.511157","2025-09-22 20:39:23.511157",1,1,0,60
34,"Напишите название этой песни",1,32,,"/assets/10. ACDC_-_Thunderstruck_47830044 (mp3cut.net).mp3",,,"2025-09-22 17:22:07.787744","2025-09-22 17:39:08.588877","2025-09-22 20:39:33.577727","2025-09-22 20:40:33.577727",1,1,0,60
35,"Напишите название этой песни",1,32,,"/assets/14. Sultan_Uragan_i_Murat_Tkhagalegov_-_Na_diskoteku_11080693 (mp3cut.net).mp3",,,"2025-09-22 17:22:22.053644","2025-09-22 17:39:09.177297","2025-09-22 20:40:22.705509","2025-09-22 20:41:22.705509",1,1,0,60
36,"Напишите название этой песни",1,32,,"/assets/16. Car_Man_-_San-rancisko_70033361 (mp3cut.net).mp3",,,"2025-09-22 17:22:37.295051","2025-09-22 17:39:09.563227","2025-09-22 20:41:07.980757","2025-09-22 20:42:07.980757",1,1,0,60
37,"Напишите название этой песни",1,32,,"/assets/23. Europe_-_The_Final_Countdown_48334848 (mp3cut.net).mp3",,,"2025-09-22 17:23:21.348601","2025-09-22 17:39:10.094235","2025-09-22 20:41:49.546564","2025-09-22 20:42:49.546564",1,1,0,60
38,"Напишите название этой песни",1,32,,"/assets/25. Stromae_-_Alors_On_Danse_48744026 (mp3cut.net).mp3",,,"2025-09-22 17:23:35.308569","2025-09-22 17:39:10.448518","2025-09-22 20:42:55.027535","2025-09-22 20:43:55.027535",1,1,0,60
39,"Напишите название этой песни",1,32,,"/assets/26. The_Weeknd_-_Blinding_Lights_67509023 (mp3cut.net).mp3",,,"2025-09-22 17:23:47.049172","2025-09-22 17:39:10.813413","2025-09-22 20:44:07.646850","2025-09-22 20:45:07.646850",1,1,0,60
40,"Напишите название этой песни",1,32,,"/assets/27. Selena_Gomez_-_Love_You_Like_A_Love_Song_48274563 (mp3cut.net).mp3",,,"2025-09-22 17:23:59.925830","2025-09-22 17:39:11.212436","2025-09-22 20:44:46.744623","2025-09-22 20:45:46.744623",1,1,0,60
41,"Напишите название этой песни",1,32,,"/assets/30. John_Newman_-_Love_Me_Again_48058117 (mp3cut.net).mp3",,,"2025-09-22 17:24:16.058343","2025-09-22 17:39:12.660999","2025-09-22 20:52:07.599311","2025-09-22 20:53:07.599311",1,1,0,60
42,"Напишите название этой песни",1,32,,"/assets/32. Lolita_-_na_Titanike_63164551 (mp3cut.net).mp3",,,"2025-09-22 17:24:28.826285","2025-09-22 17:39:13.552858","2025-09-22 20:54:01.434502","2025-09-22 20:55:01.434502",1,1,0,60
43,"Напишите название этой песни",1,32,,"/assets/37. Mark_Ronson_-_Uptown_Funk_48054296 (mp3cut.net).mp3",,,"2025-09-22 17:24:43.612651","2025-09-22 17:39:13.886607","2025-09-22 20:54:41.104739","2025-09-22 20:55:41.104739",1,1,0,60
44,"Напишите название этой песни",1,32,,"/assets/39. OneRepublic_-_Counting_Stars_75941012 (mp3cut.net) (1).mp3",,,"2025-09-22 17:25:05.327325","2025-09-22 17:39:14.242224","2025-09-22 20:55:32.347431","2025-09-22 20:56:32.347431",1,1,0,60
45,"Напишите название этой песни",1,32,,"/assets/42. Taylor_Swift_-_Shake_It_Off_48194157 (mp3cut.net).mp3",,,"2025-09-22 17:25:20.029057","2025-09-22 17:39:14.594610","2025-09-22 20:56:31.741036","2025-09-22 20:57:31.741036",1,1,0,60
46,"Напишите название этой песни",1,32,,"/assets/46. LMFAO_-_Sexy_And_I_Know_It_47961221 (mp3cut.net).mp3",,,"2025-09-22 17:25:33.377514","2025-09-22 17:39:15.399805","2025-09-22 20:58:50.628011","2025-09-22 20:59:50.628011",1,1,0,60
47,"Напишите название этой песни",1,32,,"/assets/56. Gradusy_-_Golaya_707309 (mp3cut.net).mp3",,,"2025-09-22 17:25:52.075899","2025-09-22 17:39:16.814249","2025-09-22 21:01:38.466425","2025-09-22 21:02:38.466425",1,1,0,60
48,"Напишите название этой песни",1,32,,"/assets/59. Te100steron_-_JEto_ne_zhenshhina_-_jeto_beda_33660215 (mp3cut.net).mp3",,,"2025-09-22 17:26:02.768807","2025-09-22 17:39:17.294088","2025-09-22 21:03:59.463248","2025-09-22 21:04:59.463248",1,1,0,60
49,"Напишите исполнителя этой песни ",1,32,,"/assets/58. Ivan_Dorn_-_Stycamjen_48213771 (mp3cut.net).mp3",,,"2025-09-22 17:26:17.667256","2025-09-22 17:39:17.768896","2025-09-22 21:05:39.696636","2025-09-22 21:06:39.696636",1,1,0,60
50,"Напишите исполнительницу этой песни ",1,32,,"/assets/52. ANNA_ASTI_-_Carica_76368874 (mp3cut.net).mp3",,,"2025-09-22 17:26:40.273930","2025-09-22 17:39:17.978182","2025-09-22 21:07:01.491789","2025-09-22 21:08:01.491789",1,1,0,60
51,"Напишите исполнительницу этой песни ",1,32,,"/assets/51. Lyusya_CHebotina_-_SOLNCE_MONAKO_73236442 (mp3cut.net).mp3",,,"2025-09-22 17:26:59.063361","2025-09-22 17:39:18.698850","2025-09-22 21:07:55.385860","2025-09-22 21:08:55.385860",1,1,0,60
52,"Напишите исполнительницу этой песни ",1,32,,"/assets/47. Kesha_-_TiK_ToK_47963582 (mp3cut.net).mp3",,,"2025-09-22 17:27:16.799155","2025-09-22 17:39:19.088154","2025-09-22 21:09:07.306687","2025-09-22 21:10:07.306687",1,1,0,60
53,"Напишите исполнительницу этой песни ",1,32,,"/assets/45. Katy_Perry_-_Firework_60879726 (mp3cut.net).mp3",,,"2025-09-22 17:27:33.167860","2025-09-22 17:39:19.735798","2025-09-22 21:11:40.186541","2025-09-22 21:12:40.186541",1,1,0,60
54,"Напишите исполнительницу этой песни ",1,NULL,,"/assets/40. Katy_Perry_-_Roar_47836289 (mp3cut.net).mp3",,,"2025-09-22 17:27:50.519639","2025-09-22 17:39:20.109944",NULL,NULL,1,0,0,60
55,"Напишите исполнительницу этой песни ",1,32,,"/assets/6. Gala_-_Freed_From_Desire_68304440 (mp3cut.net).mp3",,,"2025-09-22 17:28:11.502454","2025-09-22 17:39:20.478501","2025-09-22 21:13:23.986788","2025-09-22 21:14:23.986788",1,1,0,60
56,"Напишите исполнителя этой песни ",1,32,,"/assets/12. Nikolajj_Baskov_-_Zaraza_73039520 (mp3cut.net).mp3",,,"2025-09-22 17:28:27.418342","2025-09-22 17:39:21.883167","2025-09-22 21:14:34.569161","2025-09-22 21:15:34.569161",1,1,0,60
57,"Напишите исполнителя этой песни ",1,32,,"/assets/13. Aleksejj_Vorobjov_-_Sumasshedshaya_48035690 (mp3cut.net).mp3",,,"2025-09-22 17:28:36.117627","2025-09-22 17:39:22.247417","2025-09-22 21:16:06.625941","2025-09-22 21:17:06.625941",1,1,0,60
58,"Напишите исполнителя этой песни ",1,32,,"/assets/17. Andrejj_Gubin_-_Noch_48203302 (mp3cut.net).mp3",,,"2025-09-22 17:28:47.804561","2025-09-22 17:39:22.891149","2025-09-22 21:17:09.313556","2025-09-22 21:18:09.313556",1,1,0,60
59,"Напишите название этой группы  ",1,32,,"/assets/21. Modern_Talking_-_Cheri_Cheri_Lady_47835463 (mp3cut.net).mp3",,,"2025-09-22 17:29:11.451303","2025-09-22 17:39:23.211190","2025-09-22 21:18:17.929482","2025-09-22 21:19:17.929482",1,1,0,60
60,"Напишите название этой группы  ",1,32,,"/assets/24. Spice_Girls_-_Wannabe_48002514 (mp3cut.net).mp3",,,"2025-09-22 17:29:20.498374","2025-09-22 17:39:23.587067","2025-09-22 21:19:16.536200","2025-09-22 21:20:16.536200",1,1,0,60
61,"Напишите название этой группы  ",1,32,,"/assets/28. Maroon_5_-_Sugar_48231561 (mp3cut.net).mp3",,,"2025-09-22 17:29:36.686592","2025-09-22 17:39:23.983853","2025-09-22 21:20:18.807521","2025-09-22 21:21:18.807521",1,1,0,60
62,"Напишите название этой группы  ",1,32,,"/assets/44. Linkin_Park_-_Numb_47828673 (mp3cut.net).mp3",,,"2025-09-22 17:29:52.324033","2025-09-22 17:39:24.581178","2025-09-22 21:21:31.323175","2025-09-22 21:22:31.323175",1,1,0,60
63,"Напишите название фильма, к которому был написан этот саундтрек ",1,32,,"/assets/7. twenty_one_pilots_-_Heathens_65710486 (mp3cut.net).mp3",,,"2025-09-22 17:30:13.460241","2025-09-22 17:39:25.876448","2025-09-22 21:24:34.786310","2025-09-22 21:25:34.786310",1,1,0,60
64,"Напишите обоих исполнителей этой песни",1,32,,"/assets/8. Eldzhay_Feduk_-_Rozovoe_vino_70120496 (mp3cut.net).mp3",,,"2025-09-22 17:30:24.976895","2025-09-22 17:39:26.403248","2025-09-22 21:25:44.049543","2025-09-22 21:26:44.049543",1,1,0,60
65,"Напишите группу, рэпера и исполнительницу этой песни ",1,32,,"/assets/11. Leningrad_feat_Glyukoza_feat_ST_-_ZHuZHu_73583119 (mp3cut.net).mp3",,,"2025-09-22 17:30:38.271656","2025-09-22 17:39:27.091571","2025-09-22 21:27:47.475015","2025-09-22 21:28:47.475015",1,1,0,60
66,"Напишите исполнителя и название этой песни ",1,32,,"/assets/15. Grigorijj_Leps_-_YA_tebya_ne_lyublyu_48202925 (mp3cut.net).mp3",,,"2025-09-22 17:30:49.778084","2025-09-22 17:39:27.477828","2025-09-22 21:29:01.759086","2025-09-22 21:30:01.759086",1,1,0,60
67,"Напишите обоих исполнителей этой песни ",1,32,,"/assets/19. Sean_Paul_Dua_Lipa_-_No_Lie_47829401 (mp3cut.net).mp3",,,"2025-09-22 17:31:10.320128","2025-09-22 17:39:27.843558","2025-09-22 21:30:05.167418","2025-09-22 21:31:05.167418",1,1,0,60
68,"Напишите хотябы одного исполнителя этой песни ",1,32,,"/assets/20. Sam_Smith_Naughty_Boy_-_La_La_La_47965449 (mp3cut.net).mp3",,,"2025-09-22 17:31:24.009063","2025-09-22 17:39:29.035943","2025-09-22 21:31:22.186245","2025-09-22 21:32:22.186245",1,1,0,60
69,"На каком языке поется эта песня?",1,32,,"/assets/22. Rammstein_-_Deutschland_63121880 (mp3cut.net).mp3",,,"2025-09-22 17:31:34.348564","2025-09-22 17:39:29.424898","2025-09-22 21:33:08.458662","2025-09-22 21:34:08.458662",1,1,0,60
70,"Напишите хотя бы одного исполнителя этой песни",1,32,,"/assets/25. Camila_Cabello_-_Havana_48195887 (mp3cut.net).mp3",,,"2025-09-22 17:31:49.035368","2025-09-22 17:39:29.797791","2025-09-22 21:33:54.562956","2025-09-22 21:34:54.562956",1,1,0,60
71,"Напишите хотя бы одного исполнителя этой песни",1,32,,"/assets/29. Jennifer_Lopez_-_On_The_Floor_48402181 (mp3cut.net).mp3",,,"2025-09-22 17:31:58.884729","2025-09-22 17:39:30.360334","2025-09-22 21:36:15.194323","2025-09-22 21:37:15.194323",1,1,0,60
72,"Напишите хотя бы одного исполнителя этой песни ",1,32,,"/assets/33. Eminem_Rihanna_-_Love_The_Way_You_Lie_47965688 (mp3cut.net).mp3",,,"2025-09-22 17:32:24.224977","2025-09-22 17:39:30.801083","2025-09-22 21:37:08.895686","2025-09-22 21:38:08.895686",1,1,0,60
73,"Напишите исполнителя этой песни ",1,32,,"/assets/35. Pharrell_Williams_-_Happy_47923895 (mp3cut.net).mp3",,,"2025-09-22 17:32:38.837259","2025-09-22 17:39:31.182355","2025-09-22 21:38:03.041585","2025-09-22 21:39:03.041585",1,1,0,60
74,"Напишите страну из который данный исполнитель ",1,32,,"/assets/36. PSY_-_Gangnam_Style_47995629 (mp3cut.net).mp3",,,"2025-09-22 17:32:52.813339","2025-09-22 17:39:32.483068","2025-09-22 21:38:56.896377","2025-09-22 21:39:56.896377",1,1,0,60
75,"Официальной песней какого года Чемпионата мира по футболу FIFA является эта песня?",1,32,,"/assets/38. Shakira_-_Waka_Waka_This_Time_for_Africa_47963602 (mp3cut.net).mp3",,,"2025-09-22 17:33:08.477075","2025-09-22 17:39:32.849837","2025-09-22 21:40:09.114295","2025-09-22 21:41:09.114295",1,1,0,60
76,"Напишите исполнителя этой песни ",1,32,,"/assets/41. Justin_Bieber_-_Sorry_47960174 (mp3cut.net).mp3",,,"2025-09-22 17:33:22.881485","2025-09-22 17:39:33.801685","2025-09-22 21:41:33.518050","2025-09-22 21:42:33.518050",1,1,0,60
77,"Напишите хотя бы одного исполнителя этой песни ",1,32,,"/assets/43. Charlie_Puth_-_We_Dont_Talk_Anymore_48224381 (mp3cut.net).mp3",,,"2025-09-22 17:33:35.830550","2025-09-22 17:39:34.192076","2025-09-22 21:43:25.218561","2025-09-22 21:44:25.218561",1,1,0,60
78,"Напишите хотя бы одного исполнителя этой песни ",1,32,,"/assets/49. MC_Doni_feat_Natali_-_Ty_Takojj_28444595 (mp3cut.net).mp3",,,"2025-09-22 17:33:49.791285","2025-09-22 17:39:34.645993","2025-09-22 21:45:01.513060","2025-09-22 21:46:01.513060",1,1,0,60
79,"Напишите название коллектива, исполнившего эту песню ",1,32,,"/assets/50. 2Mashi_-_Mama_ya_tancuyu_64285206 (mp3cut.net).mp3",,,"2025-09-22 17:34:04.856111","2025-09-22 17:39:35.551888","2025-09-22 21:46:59.718729","2025-09-22 21:47:59.718729",1,1,0,60
80,"Напишите исполнителя или группу исполнившую эту песню ",1,32,,"/assets/55. Timati_-_Baklazhan_48035696 (mp3cut.net).mp3",,,"2025-09-22 17:34:17.612191","2025-09-22 17:39:36.239377","2025-09-22 21:49:21.078830","2025-09-22 21:50:21.078830",1,1,0,60
